m	p	s	method	ARI	RI	recall	precision
m5	mS	0	ancestree	0.831993675056	0.974789915966	1.0	0.732142857143
m5	mS	10	ancestree	0.977960118309	0.995670995671	1.0	0.961538461538
m5	mS	12	ancestree	1.0	1.0	1.0	1.0
m5	mS	2	ancestree	0.904255319149	0.975	1.0	0.85
m5	mS	3	ancestree	0.827988470529	0.976052249637	1.0	0.725
m5	mS	4	ancestree	1.0	1.0	1.0	1.0
m5	mS	5	ancestree	0.858908895458	0.97619047619	1.0	0.772727272727
m5	mS	7	ancestree	0.811127899742	0.957983193277	1.0	0.715909090909
m5	mS	8	ancestree	0.910970409614	0.978955007257	1.0	0.857142857143
m5	mS	9	ancestree	1.0	1.0	1.0	1.0
m5	S	17	ancestree	0.644005347053	0.858350951374	1.0	0.575949367089
m5	S	23	ancestree	0.722168642521	0.912653061224	1.0	0.629757785467
m5	S	25	ancestree	0.900763358779	0.984615384615	1.0	0.833333333333
m5	S	31	ancestree	0.440417479069	0.793277310924	1.0	0.369230769231
m5	S	32	ancestree	0.918294849023	0.976811594203	1.0	0.873015873016
m5	S	35	ancestree	0.636788753667	0.925609756098	1.0	0.508064516129
m5	S	40	ancestree	0.847800700662	0.967149758454	1.0	0.763888888889
m5	S	49	ancestree	0.851780603388	0.974358974359	1.0	0.763157894737
m5	S	62	ancestree	0.522855913409	0.866666666667	1.0	0.415094339623
m5	S	81	ancestree	0.746326161819	0.939516129032	1.0	0.638554216867
m5	M	209	ancestree	0.461945678663	0.850196078431	1.0	0.359060402685
m5	M	473	ancestree	0.908406851881	0.985159817352	1.0	0.845849802372
m5	M	512	ancestree	0.684782017763	0.945420906568	1.0	0.55303030303
m5	M	534	ancestree	0.951951077461	0.99053030303	1.0	0.918032786885
m5	M	545	ancestree	0.661614510391	0.935265700483	1.0	0.531468531469
m5	M	565	ancestree	0.804735819049	0.956302521008	1.0	0.707865168539
m5	M	694	ancestree	0.928219003661	0.986585365854	1.0	0.879120879121
m5	M	76	ancestree	0.908951798011	0.984162895928	1.0	0.847826086957
m5	M	865	ancestree	0.983875140122	0.996434937611	1.0	0.972222222222
m5	M	907	ancestree	0.818337571322	0.959284627093	1.0	0.725641025641
m5	R	1140	ancestree	0.806997742664	0.953216374269	1.0	0.714285714286
m5	R	17	ancestree	0.879315851837	0.975326560232	1.0	0.806818181818
m5	R	2155	ancestree	0.634594229796	0.914893617021	1.0	0.51269035533
m5	R	247	ancestree	0.803951829176	0.95818815331	1.0	0.704918032787
m5	R	518	ancestree	0.899512828841	0.978883861237	1.0	0.837209302326
m5	R	538	ancestree	0.86941942695	0.969696969697	1.0	0.796380090498
m5	R	571	ancestree	0.964224872232	0.993650793651	1.0	0.9375
m5	R	950	ancestree	0.934513274336	0.992887624467	1.0	0.883720930233
m5	R	955	ancestree	0.922000314515	0.987903225806	1.0	0.866666666667
m5	R	981	ancestree	0.598210662355	0.884699453552	1.0	0.490338164251
m8	mS	0	ancestree	0.714769453887	0.971428571429	1.0	0.573170731707
m8	mS	10	ancestree	0.983838058419	0.995570321152	1.0	0.973333333333
m8	mS	12	ancestree	0.774239459171	0.968085106383	1.0	0.653846153846
m8	mS	2	ancestree	0.869927737632	0.977207977208	1.0	0.789473684211
m8	mS	3	ancestree	0.792601659187	0.975409836066	1.0	0.673913043478
m8	mS	4	ancestree	0.980020859577	0.997175141243	1.0	0.963768115942
m8	mS	5	ancestree	0.680616944855	0.957013574661	1.0	0.540322580645
m8	mS	7	ancestree	0.865690709658	0.981224489796	1.0	0.778846153846
m8	mS	8	ancestree	0.919275969004	0.989010989011	1.0	0.860759493671
m8	mS	9	ancestree	0.736401150431	0.965725806452	1.0	0.604651162791
m8	S	0	ancestree	0.803191489362	0.982211538462	1.0	0.683760683761
m8	S	12	ancestree	0.813793103448	0.980952380952	1.0	0.7
m8	S	23	ancestree	0.77849023163	0.951348492861	1.0	0.673758865248
m8	S	2	ancestree	0.856760991796	0.981646825397	1.0	0.764331210191
m8	S	31	ancestree	0.989010989011	0.998367346939	1.0	0.98
m8	S	35	ancestree	0.650907818728	0.950630630631	1.0	0.508960573477
m8	S	37	ancestree	0.901931505111	0.985110663984	1.0	0.834821428571
m8	S	54	ancestree	0.733116732421	0.950310559006	1.0	0.611650485437
m8	S	5	ancestree	0.774930451455	0.966983265491	1.0	0.655660377358
m8	S	69	ancestree	0.604434072345	0.887896825397	1.0	0.495535714286
m8	M	172	ancestree	0.609708101017	0.957837301587	1.0	0.458598726115
m8	M	19	ancestree	0.866767219708	0.979035639413	1.0	0.782608695652
m8	M	216	ancestree	0.805645643292	0.970961887477	1.0	0.696202531646
m8	M	239	ancestree	0.843419135503	0.970192307692	1.0	0.753968253968
m8	M	241	ancestree	0.870606411742	0.981908638625	1.0	0.786096256684
m8	M	243	ancestree	0.771962017913	0.969270640504	1.0	0.649789029536
m8	M	35	ancestree	0.827005949572	0.979326923077	1.0	0.720779220779
m8	M	45	ancestree	0.723551489792	0.953950444133	1.0	0.59631147541
m8	M	76	ancestree	0.947183011615	0.993506493506	1.0	0.905940594059
m8	M	7	ancestree	0.814700745554	0.978554778555	1.0	0.703225806452
m8	R	10046	ancestree	0.930329147702	0.98990990991	1.0	0.879310344828
m8	R	10157	ancestree	0.646176262525	0.971322849214	1.0	0.491803278689
m8	R	1070	ancestree	0.974865535788	0.99537037037	1.0	0.955882352941
